year,sector,share_percent
1985,Construction,14.863622318305877
1985,ICT & Communication,8.085744118491142
1985,Manufacturing,56.42522633499043
1985,Tourism (estimate),20.62540722821254
1986,Construction,14.148564247168025
1986,ICT & Communication,8.543168435623196
1986,Manufacturing,56.08695942626451
1986,Tourism (estimate),21.221307890944267
1987,Construction,13.847764697797176
1987,ICT & Communication,8.439054468190994
1987,Manufacturing,56.192690255748104
1987,Tourism (estimate),21.520490578263733
1988,Construction,13.773026095419876
1988,ICT & Communication,8.15715904854552
1988,Manufacturing,56.35587531163632
1988,Tourism (estimate),21.71393954439828
1989,Construction,13.980261381205935
1989,ICT & Communication,7.904971401018511
1989,Manufacturing,56.62666016614174
1989,Tourism (estimate),21.488107051633804
1990,Construction,14.930759740548572
1990,ICT & Communication,8.00600911585742
1990,Manufacturing,55.28076401207424
1990,Tourism (estimate),21.782467131519763
1991,Construction,15.426858902747862
1991,ICT & Communication,8.298077396658595
1991,Manufacturing,53.965157312798965
1991,Tourism (estimate),22.30990638779458
1992,Construction,13.562912276928774
1992,ICT & Communication,7.403064202014164
1992,Manufacturing,46.15539985632481
1992,Professional Services,13.155597378272951
1992,Tourism (estimate),19.72302628645929
1993,Construction,13.207443942755026
1993,ICT & Communication,7.456656551038981
1993,Manufacturing,45.99428216654019
1993,Professional Services,13.106272369945815
1993,Tourism (estimate),20.235344969719982
1994,Construction,12.307286289715984
1994,ICT & Communication,7.428757011732855
1994,Manufacturing,46.56023202819674
1994,Professional Services,12.958972424903603
1994,Tourism (estimate),20.744752245450833
1995,Construction,11.539072314675975
1995,ICT & Communication,7.1285658957595475
1995,Manufacturing,46.881394582398464
1995,Professional Services,13.954823658811103
1995,Tourism (estimate),20.496143548354905
1996,Construction,11.419107692201695
1996,ICT & Communication,7.7931476834608615
1996,Manufacturing,45.9550983078186
1996,Professional Services,14.294909210525459
1996,Tourism (estimate),20.53773710599338
1997,Construction,11.01128649441204
1997,ICT & Communication,7.861523503693994
1997,Manufacturing,45.54868554223061
1997,Professional Services,15.230419252523236
1997,Tourism (estimate),20.348085207140123
1998,Construction,10.62081005104612
1998,ICT & Communication,8.225463967674965
1998,Manufacturing,45.77951855123168
1998,Professional Services,14.623511030394543
1998,Tourism (estimate),20.750696399652682
1999,Construction,10.566668395227609
1999,ICT & Communication,8.815977648545257
1999,Manufacturing,44.71391453889088
1999,Professional Services,15.115684557131598
1999,Tourism (estimate),20.787754860204657
2000,Construction,10.697413184510616
2000,ICT & Communication,8.765508702743873
2000,Manufacturing,43.72823295283832
2000,Professional Services,15.74163828831609
2000,Tourism (estimate),21.067206871591107
2001,Construction,11.296429342312027
2001,ICT & Communication,9.57133774463294
2001,Manufacturing,42.66601928255444
2001,Professional Services,15.17241104732802
2001,Tourism (estimate),21.293802583172567
2002,Construction,11.770658978065956
2002,ICT & Communication,10.32590853496958
2002,Manufacturing,41.86091652051231
2002,Professional Services,15.243884257092033
2002,Tourism (estimate),20.798631709360123
2003,Construction,12.424380906613019
2003,ICT & Communication,10.119949700513661
2003,Manufacturing,40.59468953458519
2003,Professional Services,16.120212600715707
2003,Tourism (estimate),20.74076725757242
2004,Construction,12.974330298905162
2004,ICT & Communication,9.999788493106616
2004,Manufacturing,40.238108059706725
2004,Professional Services,15.94932433983759
2004,Tourism (estimate),20.838448808443914
2005,Construction,13.468669629487417
2005,ICT & Communication,10.023330372694199
2005,Manufacturing,39.66125861432816
2005,Professional Services,15.906305315978914
2005,Tourism (estimate),20.9404360675113
2006,Construction,13.695776074088496
2006,ICT & Communication,9.770210492455504
2006,Manufacturing,40.20538061527621
2006,Professional Services,15.420147006163917
2006,Tourism (estimate),20.90848581201586
2007,Construction,13.650043611581022
2007,ICT & Communication,9.57607737244325
2007,Manufacturing,40.85536320306575
2007,Professional Services,15.103305164419156
2007,Tourism (estimate),20.81521064849081
2008,Construction,13.953529735920931
2008,ICT & Communication,9.59110531888898
2008,Manufacturing,39.98122807176322
2008,Professional Services,15.54860627168941
2008,Tourism (estimate),20.925530601737467
2009,Construction,14.300539367219322
2009,ICT & Communication,10.394408089705617
2009,Manufacturing,36.71438598413284
2009,Professional Services,16.428402687904878
2009,Tourism (estimate),22.16226387103734
2010,Construction,13.374401265019337
2010,ICT & Communication,10.138461016961012
2010,Manufacturing,38.170256071302425
2010,Professional Services,16.354219405996933
2010,Tourism (estimate),21.962662240720306
2011,Construction,13.395173564539911
2011,ICT & Communication,9.883038523197293
2011,Manufacturing,38.479594611398845
2011,Professional Services,15.981055605097335
2011,Tourism (estimate),22.261137695766628
2012,Construction,12.889040799023032
2012,ICT & Communication,9.708600645933666
2012,Manufacturing,38.347787934605876
2012,Professional Services,16.380092947699477
2012,Tourism (estimate),22.67447767273796
2013,Construction,12.307248199255808
2013,ICT & Communication,9.303009991699282
2013,Manufacturing,38.97538995893216
2013,Professional Services,16.582496151948373
2013,Tourism (estimate),22.83185569816438
2014,Construction,11.255114995518918
2014,ICT & Communication,9.097942333458937
2014,Manufacturing,39.583964449917644
2014,Professional Services,16.729665524212297
2014,Tourism (estimate),23.333312696892197
2015,Construction,10.802846606937836
2015,ICT & Communication,9.013824117694565
2015,Manufacturing,40.376387456213756
2015,Professional Services,16.57777579961995
2015,Tourism (estimate),23.22916601953389
2016,Construction,10.52701020539047
2016,ICT & Communication,9.193335547989115
2016,Manufacturing,40.81225659662063
2016,Professional Services,16.21548891334272
2016,Tourism (estimate),23.251908736657075
2017,Construction,10.35587984084967
2017,ICT & Communication,9.148453023620057
2017,Manufacturing,40.86642301105803
2017,Professional Services,16.10137471382724
2017,Tourism (estimate),23.527869410644993
2018,Construction,10.27049164663934
2018,ICT & Communication,8.936709236005159
2018,Manufacturing,40.98678675335481
2018,Professional Services,16.30116978343989
2018,Tourism (estimate),23.504842580560805
2019,Construction,10.576672852906734
2019,ICT & Communication,8.872394490691779
2019,Manufacturing,40.82360496536259
2019,Professional Services,15.827726136097933
2019,Tourism (estimate),23.899601554940954
2020,Construction,11.19611991725759
2020,ICT & Communication,9.628120999750543
2020,Manufacturing,41.03681289062807
2020,Professional Services,17.884489060389974
2020,Tourism (estimate),20.254457131973826
2021,Construction,12.47413842063842
2021,ICT & Communication,9.018209110161393
2021,Manufacturing,41.386830459653964
2021,Professional Services,16.518226104521972
2021,Tourism (estimate),20.602595905024256
2022,Construction,13.417934428000969
2022,ICT & Communication,8.133979800098071
2022,Manufacturing,40.36437077562642
2022,Professional Services,16.25411732247062
2022,Tourism (estimate),21.829597673803914
2023,Construction,13.989881686179078
2023,ICT & Communication,7.818651261913928
2023,Manufacturing,39.73970666832358
2023,Professional Services,16.621402511667196
2023,Tourism (estimate),21.83035787191621
2024,Construction,13.164424130685829
2024,ICT & Communication,8.106666167646328
2024,Manufacturing,39.439008679629225
2024,Professional Services,16.732850980779197
2024,Tourism (estimate),22.557050041259423
